sample_id,treatment,sample_type
1001,shelter,experimental
1002,open,experimental
1003,shelter,experimental
1004,open,experimental
1005,shelter,experimental
1006,open,experimental
1007,shelter,experimental
1008,open,experimental
2001,shelter,experimental
2002,open,experimental
2003,shelter,experimental
2004,open,experimental
2005,shelter,experimental
2006,open,experimental
2007,shelter,experimental
2008,open,experimental
3001,shelter,experimental
3002,open,experimental
3003,shelter,experimental
3004,open,experimental
3005,shelter,experimental
3006,open,experimental
3007,shelter,experimental
3008,open,experimental
4001,shelter,experimental
4002,open,experimental
4003,shelter,experimental
4004,open,experimental
4005,shelter,experimental
4006,open,experimental
4007,shelter,experimental
4008,open,experimental
101,shelter,experimental
102,open,experimental
103,shelter,experimental
104,open,experimental
105,shelter,experimental
106,open,experimental
107,shelter,experimental
108,open,experimental
201,shelter,experimental
202,open,experimental
203,shelter,experimental
204,open,experimental
205,shelter,experimental
206,open,experimental
207,shelter,experimental
208,open,experimental
301,shelter,experimental
302,open,experimental
303,shelter,experimental
304,open,experimental
305,shelter,experimental
306,open,experimental
307,shelter,experimental
308,open,experimental
401,shelter,experimental
402,open,experimental
403,shelter,experimental
404,open,experimental
405,shelter,experimental
406,open,experimental
407,shelter,experimental
408,open,experimental
Mock1,NA,positive_control
Mock2,NA,positive_control
Mock3,NA,positive_control
Mock4,NA,positive_control
Mock5,NA,positive_control
Mock6,NA,positive_control
Mock7,NA,positive_control
NC1,NA,negative_control
NC2,NA,negative_control
NC3,NA,negative_control
NC4,NA,negative_control
NC5,NA,negative_control
NC6,NA,negative_control
NC7,NA,negative_control
RTSF_ZymoMockDNA,NA,RTSF_mock
