,OTUID,Occ.fil,Domain,Phylum,Class,Order,Family,Genus,Species,Genus.ed,Family.ed
49,CCPS01000022.154.1916,0.9625,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,Escherichia-Shigella,Enterobacteriaceae
211,JOGX01000016.105867.107365,0.9375,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomyces,Streptomycetaceae
238,KF625186.1.1741,0.725,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Raoultella,Raoultella ornithinolytica,Raoultella,Enterobacteriaceae
269,KY646001.1.1573,0.7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillus,Bacillaceae
55,CP018779.372609.374112,0.675,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,NA,Ochrobactrum,Rhizobiaceae
78,EF528273.1.1512,0.525,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillus,Bacillaceae
74,EF101305.1.1542,0.5125,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonas,Pseudomonadaceae
254,KR026982.1.1447,0.475,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonas,Pseudomonadaceae
244,KJ161326.1.1708,0.45,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonas,Pseudomonadaceae
157,GQ483458.1.1495,0.375,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Rhizobiaceae
61,DQ298777.1.1540,0.3375,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,Stenotrophomonas,Xanthomonadaceae
163,HAEP01038523.44.1571,0.3375,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,f_Burkholderiaceae,Burkholderiaceae
114,FPID01000096.6.1486,0.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,metagenome,Pseudomonas,Pseudomonadaceae
77,EF517956.1.1666,0.275,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. IGCAR-9/07,Acinetobacter,Moraxellaceae
144,FR746074.1.1400,0.275,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonas,Pseudomonadaceae
35,AY491594.1.1631,0.2375,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured,NA,f_Burkholderiaceae,Burkholderiaceae
243,KJ013374.1.1531,0.2375,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomyces,Streptomycetaceae
255,KR088549.1.1526,0.225,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. F7,Arthrobacter,Micrococcaceae
181,HQ121200.1.1459,0.2125,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA,NA,f_Caulobacteraceae,Caulobacteraceae
187,HQ455824.1.1542,0.2125,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,NA,Pantoea,Enterobacteriaceae
26,AOTI010541966.326.1849,0.2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonas,Pseudomonadaceae
251,KP096372.1.1487,0.2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,Bacillus,Bacillaceae
270,KY711182.1.1549,0.2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonas,Pseudomonadaceae
199,JN082536.1.1536,0.1875,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,Acinetobacter,Moraxellaceae
216,JRJC01000023.11.1813,0.1875,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,NA,Enterobacter,Enterobacteriaceae
58,CTEN01000001.315310.316856,0.175,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,Streptococcus,Streptococcaceae
296,S83568.1.1554,0.175,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus agnetis,Staphylococcus,Staphylococcaceae
15,AF284578.1.1549,0.1625,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,Streptococcus,Streptococcaceae
21,AM183014.1.1441,0.1625,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured Enterobacteriaceae bacterium,Escherichia-Shigella,Enterobacteriaceae
289,LT605585.1090822.1092349,0.1625,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,NA,Brucella,Rhizobiaceae
48,CATO01000049.63.1649,0.15,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,NA,Salmonella,Enterobacteriaceae
257,KT003266.1.1254,0.15,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillus,Bacillaceae
263,KU714901.1.1529,0.15,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomyces,Streptomycetaceae
294,MTIS01000005.1947007.1948557,0.15,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus alkalitelluris,Bacillus,Bacillaceae
8,AB696297.1.1439,0.1375,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Escherichia-Shigella,Enterobacteriaceae
41,AY856845.1.1538,0.1375,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,Stenotrophomonas,Xanthomonadaceae
52,CP007799.5360909.5362333,0.1375,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Escherichia-Shigella,Enterobacteriaceae
59,CVJT01000011.50.2173,0.1375,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus,Staphylococcaceae
69,DQ819169.1.1447,0.1375,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Escherichia-Shigella,Enterobacteriaceae
19,AJ440990.1.1550,0.125,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,NA,Planococcus,Planococcaceae
30,AY030334.1.1514,0.125,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillus,Bacillaceae
87,EU771597.1.1411,0.125,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Escherichia-Shigella,Enterobacteriaceae
159,GQ853416.1.1513,0.125,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,NA,Pantoea,Enterobacteriaceae
167,HF570082.1.1509,0.125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,NA,Methylobacterium,Beijerinckiaceae
275,LC140841.1.1508,0.125,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured Pseudomonas sp.,Pseudomonas,Pseudomonadaceae
11,ABRA01002618.192.1704,0.1125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Rhizobiaceae
88,EU771744.1.1413,0.1125,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Escherichia-Shigella,Enterobacteriaceae
101,FJ950694.1.1472,0.1125,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Escherichia-Shigella,Enterobacteriaceae
128,FPLN01008484.58.1586,0.1125,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Escherichia-Shigella,Enterobacteriaceae
147,GEXO01005455.1.1513,0.1125,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Malaclemys terrapin terrapin,Escherichia-Shigella,Enterobacteriaceae
189,HQ682006.1.1451,0.1125,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,uncultured bacterium,Brevundimonas,Caulobacteraceae
217,JUOP01000215.81.1657,0.1125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus,Enterococcaceae
228,KC683892.1.1440,0.1125,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,Bacillus,Bacillaceae
229,KC858869.1.1562,0.1125,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillus,Bacillaceae
259,KT957300.1.1480,0.1125,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus hominis subsp. hominis,Staphylococcus,Staphylococcaceae
271,KY777444.1.1555,0.1125,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillus,Bacillaceae
278,LKHO01000001.198.1803,0.1125,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Listeria,Listeriaceae
7,AB637092.1.1524,0.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,NA,f_Bacillaceae,Bacillaceae
13,AF025370.1.1525,0.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Escherichia-Shigella,Enterobacteriaceae
18,AJ429238.1.1465,0.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,Sphingomonas,Sphingomonadaceae
40,AY803191.1.1542,0.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,NA,Cronobacter,Enterobacteriaceae
42,AY959011.1.1496,0.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Escherichia-Shigella,Enterobacteriaceae
73,EF064168.1.1513,0.1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,uncultured bacterium,Aquabacterium,Burkholderiaceae
85,EU511062.1.1407,0.1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,uncultured bacterium,f_Lachnospiraceae,Lachnospiraceae
112,FNKD01000009.1.1593,0.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,NA,Virgibacillus,Bacillaceae
160,GQ926886.1.1538,0.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillus,Bacillaceae
174,HM159971.1.1501,0.1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Comamonas,uncultured Comamonas sp.,Comamonas,Burkholderiaceae
182,HQ148916.1.1299,0.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,f_Enterobacteriaceae,Enterobacteriaceae
194,JF346899.1.1511,0.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillus,Bacillaceae
230,KF026285.1.1556,0.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae
240,KF928782.1.1516,0.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,NA,Salmonella,Enterobacteriaceae
297,U92194.1.1550,0.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Escherichia-Shigella,Enterobacteriaceae
138,FPLS01033822.31.1498,0.0875,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA,f_Rhizobiaceae,Rhizobiaceae
165,HAFQ01034884.73.1567,0.0875,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Spumella sp. AR4D6,Pseudomonas,Pseudomonadaceae
169,HG780372.1.1269,0.0875,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,Pseudomonas,Pseudomonadaceae
203,JN695913.1.1530,0.0875,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium radiotolerans,Methylobacterium,Beijerinckiaceae
232,KF061569.1.1375,0.0875,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,uncultured bacterium,Staphylococcus,Staphylococcaceae
