sample_id,Plot,treatment,pas,rng,var,name,Number_of_plants_harvested,Total_plant_biomass_Kg,Plot_wt_g,100_seed_wt_g,Seed_moisture_percent,Moisture_adjusted_100_seed_wt_g,cwt_per_acre,Days_to_flowering,Days_to_maturity,Canopy_height_cm,Lodging_score,Desirability_score,,block,var,trt,plants,biomass,yield
2008,9416_2008,open,5,9,R99,R99,33,1.08,274.7,18,22.25,17.07,10.02,44,108,47,1,4,,4,Cayenne,Shelter,43,1.24,20.83
3001,9416_3001,shelter,7,2,B18504,B18504_Rainout,45,1.08,404.7,20.8,18.4,20.7,15.49,43,100,49,1,5,,1,R99,Open,35,2.1,11.68
3002,9416_3002,open,7,3,B18504,B18504,49,1.52,515.1,20.6,19.1,20.32,19.54,43,101,50,1,6,,2,R99,Open,33,1.08,10.02
3003,9416_3003,shelter,7,4,R99,R99_Rainout,30,2.2,226.3,19.7,23.15,18.46,8.16,43,109,49,2,4,,3,R99,Open,34,1.68,13.16
3004,9416_3004,open,7,5,R99,R99,34,1.68,349.9,20.4,19.8,19.95,13.16,43,110,49,2,4,,4,R99,Open,32,1.74,11.43
3005,9416_3005,shelter,7,6,Rosetta,Rosetta_Rainout,26,1.2,390.6,34.6,18.5,32.4,14.93,42,104,52,1,5,,1,R99,Shelter,35,1.95,5.81
3006,9416_3006,open,7,7,Rosetta,Rosetta,30,1.34,417.7,34.2,18.7,33.91,15.92,41,103,51,1,4,,2,R99,Shelter,28,1.3,7.45
3007,9416_3007,shelter,7,8,Cayenne,Cayenne_Rainout,45,1.22,494.4,34.6,17.6,34.77,19.1,41,99,51,1,5,,3,R99,Shelter,30,2.2,8.16
3008,9416_3008,open,7,9,Cayenne,Cayenne,50,0.92,270.3,34.6,19.3,31.89,10.23,41,97,49,1,4,,4,R99,Shelter,32,1.64,10.06
4001,9416_4001,shelter,9,2,Cayenne,Cayenne_Rainout,43,1.24,541.8,36,18,36,20.83,40,97,49,1,5,,1,Rosetta,Open,36,2.04,20.65
4002,9416_4002,open,9,3,Cayenne,Cayenne,52,1.26,475.2,34.1,18.5,34.19,18.16,41,97,49,1,4,,2,Rosetta,Open,37,2.04,19.75
4003,9416_4003,shelter,9,4,Rosetta,Rosetta_Rainout,33,2.16,553.7,34.9,18.4,33.14,21.19,41,106,54,1,5,,3,Rosetta,Open,30,1.34,15.92
4004,9416_4004,open,9,5,Rosetta,Rosetta,39,1.82,492.6,34.2,18.7,33.91,18.78,41,105,54,1,6,,4,Rosetta,Open,39,1.82,18.78
4005,9416_4005,shelter,9,6,R99,R99_Rainout,32,1.64,273.7,18.3,21.6,17.5,10.06,43,109,49,1,4,,1,Rosetta,Shelter,33,1.8,21.39
4006,9416_4006,open,9,7,R99,R99,32,1.74,305.5,18.3,20.2,17.81,11.43,43,109,49,1,4,,2,Rosetta,Shelter,35,1.9,19.99
4007,9416_4007,shelter,9,8,B18504,B18504_Rainout,57,1.12,344.8,19.1,18.2,19.05,13.23,42,100,50,1,6,,3,Rosetta,Shelter,26,1.2,14.93
4008,9416_4008,open,9,9,B18504,B18504,55,1.62,386.3,20.7,19.2,20.4,14.64,42,103,49,1,4,,4,Rosetta,Shelter,33,2.16,21.19
101,101,,,,,,,,,,,,,,,,,,,,,,,,
102,102,,,,,,,,,,,,,,,,,,,,,,,,
103,103,,,,,,,,,,,,,,,,,,,,,,,,
104,104,,,,,,,,,,,,,,,,,,,,,,,,
105,105,,,,,,,,,,,,,,,,,,,,,,,,
106,106,,,,,,,,,,,,,,,,,,,,,,,,
107,107,,,,,,,,,,,,,,,,,,,,,,,,
108,108,,,,,,,,,,,,,,,,,,,,,,,,
201,201,,,,,,,,,,,,,,,,,,,,,,,,
202,202,,,,,,,,,,,,,,,,,,,,,,,,
203,203,,,,,,,,,,,,,,,,,,,,,,,,
204,204,,,,,,,,,,,,,,,,,,,,,,,,
205,205,,,,,,,,,,,,,,,,,,,,,,,,
206,206,,,,,,,,,,,,,,,,,,,,,,,,
207,207,,,,,,,,,,,,,,,,,,,,,,,,
208,208,,,,,,,,,,,,,,,,,,,,,,,,
301,301,,,,,,,,,,,,,,,,,,,,,,,,
302,302,,,,,,,,,,,,,,,,,,,,,,,,
303,303,,,,,,,,,,,,,,,,,,,,,,,,
304,304,,,,,,,,,,,,,,,,,,,,,,,,
305,305,,,,,,,,,,,,,,,,,,,,,,,,
306,306,,,,,,,,,,,,,,,,,,,,,,,,
307,307,,,,,,,,,,,,,,,,,,,,,,,,
308,308,,,,,,,,,,,,,,,,,,,,,,,,
401,401,,,,,,,,,,,,,,,,,,,,,,,,
402,402,,,,,,,,,,,,,,,,,,,,,,,,
403,403,,,,,,,,,,,,,,,,,,,,,,,,
404,404,,,,,,,,,,,,,,,,,,,,,,,,
405,405,,,,,,,,,,,,,,,,,,,,,,,,
406,406,,,,,,,,,,,,,,,,,,,,,,,,
407,407,,,,,,,,,,,,,,,,,,,,,,,,
408,408,,,,,,,,,,,,,,,,,,,,,,,,
